"age_at_death","birth_date","died","eva_count","eva_duration","fai_flight_count","fai_flight_duration","flown","name","nationality","non_fai_flight_count","non_fai_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","1950-04-05","","3","19h 31m","7","66d 18h 16m 44s","False","Franklin Ramon Chang-Diaz","American","0","","NASA Group 9","0","","Retired"
"","1935-03-05","","0","","0","","False","Phillip Kenyon Chapman","American","0","","NASA Group 6","0","","Retired"
"","1978","","0","","0","","False","Raja Chari","American","0","","NASA Group 22","0","",""
"","1959-05-04","","0","","1","15d 17h 40m 21s","False","Maurizio   Cheli","Italian","0","","Italian Space Agency Group","0","","Retired"
"","1960-08-28","","6","1d 12h 17m","4","229d 8h 38m 5s","False","Leroy   Chiao","American","0","","NASA Group 13","0","","Retired"
"","1954-11-03","","0","","3","29d 8h 23m 1s","False","Kevin Patrick Chilton""Chili""","American","0","","NASA Group 12","0","","Retired"
"","1944-07-13","","0","","0","","False","Viktor Martynovich Chirkin","Russian","0","","Buran Group 1","0","","Retired"
"","1938-08-20","","1","6h","3","43d 11h 19m 8s","False","Jean-Loup Jacques Marie  Chretien","French","0","","CNES Group 1","0","","Retired"
"","China","","0","","0","","False","Zhao Chuan-dong","Chinese","0","","Group 1","0","","Active"
"","1984-06-10","","0","","0","","False","Nikolai Alexandrovich Chub","Russian","0","","Air Force Group 16","0","","Active"
"","1947-02-05","","0","","2","10d 19h 1m 16s","False","Mary Louise Cleave","American","0","","NASA Group 9","0","","Retired"
"","1958-11-19","","0","","3","28d 3h 5m 32s","False","Jean-Françis   Clervoy","French","0","","CNES Group 2","0","","Active"
"","1952-10-13","","1","6h 2m","3","27d 18h 25m 10s","False","Michael Richard Uram Clifford""Rich""","American","0","","NASA Group 13","0","","Retired"
"","1946-01-16","","0","","3","19d 7h 57m 17s","False","Michael Lloyd Coats""Mike""","American","0","","NASA Group 8","0","","Inactive"
"","1950-04-09","","0","","5","64d 12h 25m 33s","False","Kenneth Dale Cockrell","American","0","","NASA Group 13","0","","Inactive"
"","1960-12-14","","0","","3","180d 3h 59m 13s","False","Catherine Grace Coleman""Cady""","American","0","","NASA Group 14","0","","Inactive"
"","1956-11-19","","0","","4","36d 8h 10m 10s","False","Eileen Marie Collins","American","0","","NASA Group 13","0","","Retired"
"","1930-10-31","","3","1h 33m","2","11d 2h 5m 14s","False","Michael   Collins""Mike""","American","0","","NASA Group 3","0","","Retired"
"","","","0","","0","","False","Keith Colmer","American","0","","SpaceShipTwo","0","",""
"","1952-08-17","","3","21h 11m","4","40d 15h 15m 24s","False","Kathryn Ryan Thorntonnee: Cordell""Kathy""","American","0","","NASA Group 10","0","","Retired"
"37.4","1948-09-02","1986-01-28","0","","0","","False","Sharon Christa McAuliffenee: Corrigan","American","0","","NASA Teacher In Space Program","1","1m 13s","Deceased"
"","1946-08-01","","0","","4","26d 21h 11m 1s","False","Richard Oswalt Covey""Dick""","American","0","","NASA Group 8","0","","Retired"
"","1959-11-15","","0","","1","163d 5h 32m 32s","False","Timothy John Creamer""TJ""","American","0","","NASA Group 17","0","","Inactive"
"","1943-04-28","","0","","3","16d 20h 24m 52s","False","John Oliver Creighton","American","0","","NASA Group 8","0","","Retired"
"","1937-09-11","","0","","4","23d 13h 48m 38s","False","Robert Laurel Crippen""Bob""","American","0","","USAF MOL Group 2","0","","Retired"
"","1977-04-26","","0","","1","199d 16h 42m 46s","False","Samantha Cristoforetti","Italian","0","","2009 ESA Group","0","","Active"
"","1954-02-27","","0","","0","","False","Robert Buck Crombie","American","0","","MSE Group 3","0","","Retired"
"84.5","1921-10-02","2006-04-19","0","","0","","False","Albert Scott Crossfield""Scott""","American","0","","Man In Space Soonest","14","2h 44s","Deceased"
"","1940-09-12","","0","","2","19d 15h 57m 13s","False","Roger Keith Crouch","American","0","","","0","","Retired"
"","1932-03-16","","0","","1","10d 20h 8m","False","Ronnie Walter Cunningham""Walt""","American","0","","NASA Group 3","0","","Retired"
"83.5","1930-11-03","2014-05-06","0","","0","","False","William Harvey Dana","American","2","20m 7s","Dyna-Soar Group 1","14","2h 58s","Deceased"
